Amount,CBK,hour,day_of_week,card_txn_count
336.0,0,17,2,2
31.05,0,16,1,2
34.5,0,14,2,1
33.0,0,1,2,1
88.0,0,20,4,1
66.0,0,16,5,1
89.6,0,14,2,1
110.0,0,15,0,2
112.0,0,22,2,2
176.0,0,12,3,1
57.5,1,11,4,4
440.0,0,22,4,1
134.4,0,20,6,1
95.2,1,16,5,4
121.0,0,9,4,1
134.4,0,13,5,1
45.2,0,13,3,1
396.0,0,17,4,1
110.0,0,18,4,1
10.0,0,20,1,1
69.0,0,18,3,3
10.0,0,20,2,1
89.6,0,15,1,1
104.5,0,0,3,1
88.0,0,14,4,1
10.0,0,16,5,2
46.0,0,8,1,1
336.0,0,21,0,1
139.55,0,16,0,1
132.0,0,15,4,2
89.6,0,21,0,1
280.0,0,15,1,1
66.0,0,19,1,1
31.05,0,13,2,2
145.6,0,23,0,2
89.6,0,0,5,2
120.0,0,22,3,1
77.0,0,14,2,1
242.0,0,18,4,1
184.0,0,17,4,1
15.0,0,9,2,1
39.07,0,9,3,1
105.0,0,9,3,1
154.0,0,13,1,1
88.0,0,21,3,1
308.0,0,17,0,1
117.6,1,17,5,3
13.5,0,9,2,1
74.16,0,0,1,1
187.0,0,18,2,1
70.0,0,18,5,6
55.0,0,19,0,1
88.0,0,9,3,1
121.0,0,21,1,1
132.25,0,13,1,1
45.2,0,21,2,1
165.0,0,11,5,1
134.4,0,19,2,3
69.0,0,15,3,1
30.0,0,12,4,1
70.0,0,10,4,1
138.0,0,21,1,1
78.4,0,21,5,3
89.6,0,13,5,1
55.0,0,17,3,1
46.0,0,12,3,4
103.5,0,10,2,2
138.0,0,13,0,1
110.0,0,21,2,1
418.0,1,20,1,8
16.5,0,17,3,1
132.0,0,11,4,1
134.4,0,11,0,2
74.16,0,9,6,1
302.4,0,22,0,1
27.5,0,0,3,2
268.8,0,22,1,1
396.75,0,18,0,1
110.0,0,22,4,1
310.5,0,12,2,1
31.05,0,15,0,1
18.34,0,21,3,1
187.0,0,10,2,4
154.0,0,9,2,4
154.0,0,20,3,1
830.0,0,10,0,1
15.0,0,9,6,1
132.0,0,19,4,1
241.5,0,15,0,1
69.0,0,12,5,1
80.5,0,16,0,1
88.0,0,21,1,1
58.66,0,22,3,1
46.0,0,20,0,1
92.0,0,23,0,1
275.0,0,12,2,2
104.5,0,21,0,1
286.0,0,15,3,1
280.0,0,23,4,1
132.0,0,12,6,1
170.0,0,19,5,2
110.0,0,15,2,1
89.6,0,17,5,1
138.0,0,17,6,1
143.0,0,14,5,2
99.0,0,9,2,1
99.0,0,22,2,1
121.0,0,15,2,1
78.4,0,14,0,2
33.0,0,10,3,1
110.0,0,21,1,6
187.0,0,21,0,1
92.0,0,22,0,1
10.0,0,11,1,1
154.0,0,18,1,1
154.0,0,19,4,1
154.0,0,15,0,1
110.0,0,18,4,1
104.5,0,14,0,1
57.5,0,17,2,1
46.0,1,14,4,3
66.0,0,16,5,1
63.99,0,13,3,2
176.0,0,11,3,1
115.0,0,16,5,1
182.69,0,14,5,1
34.5,0,16,4,1
172.75,0,18,0,1
78.4,0,12,1,1
35.0,0,11,3,1
308.0,0,19,2,1
304.75,0,22,0,1
1260.0,0,10,0,2
99.0,0,15,4,1
92.0,0,14,4,1
34.5,0,10,4,1
49.5,0,22,1,1
220.0,0,10,2,1
830.0,0,10,0,3
110.0,0,10,3,1
99.0,0,17,5,2
34.5,0,19,4,1
168.0,0,0,2,1
112.0,0,12,0,2
33.0,0,20,6,1
99.0,0,14,4,1
201.6,0,10,4,1
44.0,0,17,2,1
99.0,0,17,4,1
23.0,0,8,1,2
56.65,0,17,4,1
92.0,0,18,2,2
190.0,0,14,5,2
67.2,0,16,3,1
88.0,0,15,1,2
151.2,0,17,2,1
99.0,0,2,4,1
132.0,0,22,5,2
121.0,0,20,3,1
16.5,0,10,5,3
66.0,0,18,5,1
515.2,0,12,0,1
120.75,0,14,3,1
44.8,0,21,2,1
176.0,0,0,4,1
138.0,0,15,4,1
761.6,0,19,0,1
187.0,0,18,4,1
165.0,0,23,4,1
235.2,0,14,5,1
78.4,0,13,3,1
720.0,0,12,1,1
70.0,0,15,1,1
80.5,0,11,3,1
242.0,0,19,3,1
148.5,0,22,6,1
154.0,0,12,4,2
154.0,0,19,3,1
333.5,0,14,1,1
46.69,0,21,1,1
49.5,0,11,5,1
58.36,0,10,0,1
95.2,0,21,4,1
99.0,0,19,1,1
23.0,0,21,3,1
69.0,0,22,3,1
77.0,0,19,2,2
77.0,0,13,1,1
112.0,0,20,0,2
34.5,0,14,2,1
23.0,0,19,2,1
33.0,0,12,3,1
179.2,0,20,6,1
69.0,0,16,3,2
385.0,0,13,4,1
120.75,0,13,3,1
112.0,0,12,0,2
715.0,1,2,5,2
70.0,0,18,5,6
34.5,0,21,2,1
44.8,0,12,0,1
44.42,0,10,5,4
59.99,0,23,3,1
418.0,1,19,0,7
630.0,0,14,0,2
352.0,0,14,1,2
57.5,0,9,0,1
121.0,0,23,0,3
154.0,0,21,3,2
17.24,1,2,1,3
67.2,0,23,6,6
110.0,0,16,4,1
179.2,0,12,0,1
110.0,0,18,4,1
172.75,0,12,3,3
89.6,0,16,5,3
34.5,0,14,4,2
62.0,0,13,5,1
134.4,0,9,3,1
180.0,1,16,5,3
132.0,0,17,1,1
154.0,0,23,0,2
55.0,0,14,4,1
207.0,0,15,3,1
134.4,1,16,0,15
44.0,0,13,3,2
220.0,0,20,0,2
88.0,0,18,4,1
112.0,0,11,4,1
143.0,0,17,6,2
80.5,0,11,4,1
154.0,0,18,4,1
20.0,0,10,2,1
99.0,0,9,3,1
115.0,0,23,0,3
10.0,0,23,0,1
166.0,0,11,2,2
302.4,0,11,0,1
117.6,0,14,5,2
156.8,0,11,1,1
62.1,0,11,2,1
10.0,0,8,4,1
43.0,0,21,1,1
44.8,0,15,1,2
58.36,0,16,4,2
92.0,0,12,0,2
33.0,0,0,5,1
187.0,0,12,3,1
34.5,0,21,2,1
20.0,0,11,6,1
121.0,0,17,3,2
89.6,0,17,1,1
62.1,0,13,2,1
25.0,0,22,2,1
99.0,0,12,4,2
123.3,0,12,3,1
88.0,0,20,3,2
117.6,0,16,5,1
56.0,0,12,3,1
235.2,0,18,1,1
55.0,0,19,2,1
70.0,0,17,3,1
10.0,0,22,1,1
99.0,0,9,4,1
176.0,0,18,4,1
121.0,0,23,4,1
132.25,0,21,0,1
20.0,0,16,1,1
132.0,0,17,4,2
78.4,0,14,2,2
134.4,0,20,4,1
132.25,0,20,0,1
143.0,0,18,5,1
201.25,0,21,0,2
77.0,0,8,2,1
70.0,0,12,3,1
145.6,0,20,4,1
23.0,0,18,0,1
10.0,0,15,5,1
198.0,0,13,3,1
172.5,1,14,3,2
